Name,CPU,GPU,RAM,PV,Network,LoadBalancer,External,Shared,Efficiency,Total,Window
__idle__,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,"[2026-06-20T00:00:00+0000, 2026-06-27T00:00:00+0000)"
cluster-one,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,"[2026-06-20T00:00:00+0000, 2026-06-27T00:00:00+0000)"
